Name,Pseudonym,College,Address,Water Status,Notes,Email,Police,Seed
Player1,Tom Nook,First College,A windowless basement directly underneath your floor,No water,Fatal flaw: polystyrene,penguin@fish.com,,2
Player2,Dr J. Angleton,,Hades,Water with care,,albatross@notbird.com,,2
Player3,"( ͡° ͜ʖ ͡°)" / "Foxface",Second College,"Directly in front of you, with a lightsaber",No water,,seagull@bird.com,,1
Player4,Radical Edward,Best College,,No water,,cats@gnomes.com,police
Player5,RandPseud0,A College,,No water,,lol@email.com
Player6,RandPseud1,A College,,No water,,lol@email.com
Player7,RandPseud2,A College,,No water,,lol@email.com
Player8,RandPseud3,A College,,No water,,lol@email.com
Player9,RandPseud4,A College,,No water,,lol@email.com
Player10,RandPseud5,A College,,No water,,lol@email.com
Player11,RandPseud6,A College,,No water,,lol@email.com
Player12,RandPseud7,A College,,No water,,lol@email.com
Player13,RandPseud8,A College,,No water,,lol@email.com
Player14,RandPseud9,A College,,No water,,lol@email.com
Player15,RandPseud10,A College,,No water,,lol@email.com
Player16,RandPseud11,A College,,No water,,lol@email.com
Player17,RandPseud12,A College,,No water,,lol@email.com
Player18,RandPseud13,A College,,No water,,lol@email.com
Player19,RandPseud14,A College,,No water,,lol@email.com
Player20,RandPseud15,A College,,No water,,lol@email.com
Player21,RandPseud16,A College,,No water,,lol@email.com
Player22,RandPseud17,A College,,No water,,lol@email.com
Player23,RandPseud18,A College,,No water,,lol@email.com
Player24,RandPseud19,A College,,No water,,lol@email.com
Player25,RandPseud110,A College,,No water,,lol@email.com
Player26,RandPseud111,A College,,No water,,lol@email.com
Player27,RandPseud112,A College,,No water,,lol@email.com
Player28,RandPseud113,A College,,No water,,lol@email.com
Player29,RandPseud114,A College,,No water,,lol@email.com
Player30,RandPseud115,A College,,No water,,lol@email.com
